# dpt-llc 30kw — ngspice-46, decks in spice/generated/dpt-llc-30kw-*.cir.
# kind=final is the RECOMMENDED network (LLC: Rg_off 0 + cs; PFC: exactly what cells.tsx draws); kind=sweep/sensitivity/
# control/drawn are informative and NOT gated. ONE die at the PER-POSITION current (see dpt-run.mjs current convention).
# Eoff_chan = CHANNEL dissipation: drain-node integral minus the device's datasheet Eoss at the settled voltage;
# the cs snubber sits at the package pins and bypasses the sense, and its charge is recovered at the ZVS turn-on.
# Eon_hard = the energy paid per transition IF ZVS does not complete. t_dead_req = n_die,leg*(Qoss(V)+cs*V)/I_toff.
# fingerprint: 30kw:FB n2/Lr5.6u/Cr7x33n/Lm56u/Coss580p | cs=330p | RgOn=4.7 RgOff=0 | Lloop=5nH | Voff=-3V | model=sic-1200-c3m.lib#07a229f69dac
# PASS = Vds_pk <= 85 % of 1200 V on REPETITIVE corners (at the 5 nH design loop), <= 90 % on the +6 %-bus row
#   (880 V is above the 860 V F.03 trip, so the bridge sees it only for the F.03 kill time), AND vgs in [-8,19] V AND vgs_fw_pk <= 1.4 V (hot MIN Vgs(th) of the 1200 V class, not the typical 25 C threshold)
# inputs 5b8a7036211d <- simulation-results/30kw/llc-stress.csv
case,kind,V,I_A,Cs_pF,Rg_off,Lloop_nH,Eoff_chan_uJ,koff_nJ_VA,Eon_hard_uJ,Vds_pk_V,Vds_pk_pct,dvdt_Vns,vgs_fw_pk_V,vgs_min_V,t_dead_req_ns,PASS,note
final-cs330-PAR500-full,final,830,43.6,330,0,5,108.2,2.99,904.9,963,80.3,128.6,-2.54,-4.38,177,PASS,"PAR 500 V bank at the 830 V bus cap — the worst VOLTAGE corner, PFM"
bound-PAR500-pk,bound,830,73,330,0,5,246.2,4.06,1222.8,944.4,78.7,106.6,-2.53,-4.84,177,PASS,"same corner at the tank PEAK current — the conservative bound if the modulator ever phase-shifts here"
final-cs470-SER250-PFM,final-cs470,650,90.5,470,0,5,154.2,2.62,838.1,806.4,67.2,69,-2.53,-4.65,206,PASS,"SER 250 V bank, PFM above resonance — the current-critical corner (both legs turn off at Ifet_toff)"
final-cs470-PS150-lead,final-cs470,725,100.9,470,0,5,269.4,3.68,1140.8,882.9,73.6,69.5,-2.53,-5.24,206,PASS,"PS150-Imax LEADING leg at 475 VAC (bus floor 1.08*sqrt2*475 = 725 V) — PSM, the leading leg turns off at the tank peak"
final-cs470-PAR500-full,final-cs470,830,43.6,470,0,5,73.9,2.04,991.2,1045,87.1,114.7,-2.54,-5.14,206,FAIL,"PAR 500 V bank at the 830 V bus cap — the worst VOLTAGE corner, PFM"
bound-PAR500-pk,bound,830,73,470,0,5,136.5,2.25,1313.7,992.6,82.7,82.1,-2.53,-4.66,206,PASS,"same corner at the tank PEAK current — the conservative bound if the modulator ever phase-shifts here"
final-cs1000-SER250-PFM,final-cs1000,650,90.5,1000,0,5,129.6,2.2,1003.8,877.4,73.1,115.3,-2.53,-5.17,318,PASS,"SER 250 V bank, PFM above resonance — the current-critical corner (both legs turn off at Ifet_toff)"
final-cs1000-PS150-lead,final-cs1000,725,100.9,1000,0,5,167.5,2.29,1463.7,950.3,79.2,124.7,-2.53,-5.15,318,PASS,"PS150-Imax LEADING leg at 475 VAC (bus floor 1.08*sqrt2*475 = 725 V) — PSM, the leading leg turns off at the tank peak"
final-cs1000-PAR500-full,final-cs1000,830,43.6,1000,0,5,86.3,2.39,1339.1,1007.3,83.9,131.6,-2.54,-4.66,318,PASS,"PAR 500 V bank at the 830 V bus cap — the worst VOLTAGE corner, PFM"
bound-PAR500-pk,bound,830,73,1000,0,5,133.5,2.2,1635.7,931.4,77.6,140.8,-2.53,-3.86,318,PASS,"same corner at the tank PEAK current — the conservative bound if the modulator ever phase-shifts here"
drawn-PAR500-full,drawn,830,43.6,330,0,5,108.2,2.99,904.9,963,80.3,128.6,-2.54,-4.38,177,PASS,"cells.tsx R{id}OFF = 0 Ω"
sensL10-SER250-PFM,sensitivity,650,90.5,330,0,10,310,5.27,713.2,952.2,79.4,107.8,-2.53,-5.96,177,PASS,"the same corner at 10 nH — the cost of missing the 5 nH layout rule"
sensL10-PS150-lead,sensitivity,725,100.9,330,0,10,519.2,7.1,950.4,1023.8,85.3,114.4,-2.53,-6.22,177,FAIL,"the same corner at 10 nH — the cost of missing the 5 nH layout rule"
sensL10-PAR500-full,sensitivity,830,43.6,330,0,10,97.8,2.7,891.1,935.6,78,123.6,-2.53,-3.99,177,PASS,"the same corner at 10 nH — the cost of missing the 5 nH layout rule"
sensL10-PAR500-pk,sensitivity,830,73,330,0,10,185.9,3.07,1139.7,924.7,77.1,83.6,-2.53,-5.44,177,PASS,"the same corner at 10 nH — the cost of missing the 5 nH layout rule"
control-lowVth-fw,control,650,90.5,330,0,5,270.5,4.6,940.2,882.5,73.5,99.6,-2.65,-5.17,177,PASS,"freewheel die at the datasheet MIN Vgs(th), hot"
final-cs470-PAR500-vhi,final-cs470,880,43.6,470,0,5,86.1,2.24,1203.8,1071.2,89.3,118.5,-2.54,-4.87,206,PASS,"+6 % bus = 880 V, ABOVE the 860 V F.03 trip — a kill-time excursion, 90 % limit"
final-cs1000-PAR500-vhi,final-cs1000,880,43.6,1000,0,5,84.2,2.19,1597.8,1062.2,88.5,128.7,-2.54,-4.68,318,PASS,"+6 % bus = 880 V, ABOVE the 860 V F.03 trip — a kill-time excursion, 90 % limit"
final-PAR500-vhi,final,880,43.6,330,0,5,118.1,3.08,1072,969.3,80.8,132.8,-2.54,-3.89,177,PASS,"+6 % bus = 880 V, ABOVE the 860 V F.03 trip — a kill-time excursion, 90 % limit"
