mpn,lcsc,lcsc_status,manufacturer,description,second_source,boards,qty,unit_100,unit_1k,unit_5k,unit_10k,ext_1k_INR,ext_10k_INR,sample_refs
IND-TRIM-E70-50,,CUSTOM,custom (D2 rev C — GAPPED FERRITE),"resonant trim BIN SET 3.3/3.65/4.0/4.35 µH ±3% on 2× stacked PQ50/50 PC95-class (same core p/n as D3), N=4 litz 1350×0.1 mm (10.6 mm² — E52 margin rev: the frozen 1050×0.1 rode J 5.62 exactly at the 5.6 line; 1350 lands J 4.38/ΔT ~35 K AND is the same litz construction as the D3-30 primary — one spool), distributed gap ~3.3 mm ground per bin — audit F1: the rev-B sendust toroid at full 140 kHz AC swing computed ~43 W core loss vs a ~4 W tank budget and its L swung 2:1 over each cycle; powder cores are prohibited in this slot. Bin picked against measured transformer leakage so Lr(total)=7.0 µH (kitting per DFM step 3) [D2-50 rev D (E60): 2x E70/33/32 N=3, bins 2.8/3.0/3.2 uH, litz 2500x0.1 — Rac 1.61 mOhm, dT 31 K at the SER corner (no single-set option held 40 K); 1.1 kg; one drawing serves liquid AND air]","air-core (lossier, stray field)",dcdc,1,310.5,230,202.4,184,230,184,L1T
GD32G553VET7,,REVIEW,GigaDevice,"MCU Cortex-M33 216 MHz LQFP100 −40…105 °C (MR-12: V-suffix = 100-pin — the earlier RET6 was the 64-pin part; R5-I: ordering table lists ONLY VET7 (105 °C/216 MHz) and VET3 (125 °C/170 MHz) — the drawn VET6 was not a valid order code, silicon/pinout unchanged; full pin map regenerates at A6)","GD32G553VET3 (125 °C)",card,1,283.5,210,184.8,168,210,168,UCARD
PP-1u-600,,CLASS,Faratronic,"1 µF 600 V film (Vienna per-phase commutation, CB-9)","Songtian",acdc,6,43.2,32,28.2,25.6,192,154,CA0FP CA0FN CB0FP CB0FN CC0FP CC0FN
IND-TRIM-E70-50,,CUSTOM,custom (D2 rev C — GAPPED FERRITE),"resonant trim BIN SET 3.3/3.65/4.0/4.35 µH ±3% on 2× stacked PQ50/50 PC95-class (same core p/n as D3), N=4 litz 1350×0.1 mm (10.6 mm² — E52 margin rev: the frozen 1050×0.1 rode J 5.62 exactly at the 5.6 line; 1350 lands J 4.38/ΔT ~35 K AND is the same litz construction as the D3-30 primary — one spool), distributed gap ~3.3 mm ground per bin — audit F1: the rev-B sendust toroid at full 140 kHz AC swing computed ~43 W core loss vs a ~4 W tank budget and its L swung 2:1 over each cycle; powder cores are prohibited in this slot. Bin picked against measured transformer leakage so Lr(total)=7.0 µH (kitting per DFM step 3)","air-core (lossier, stray field)",dcdc,1,256.5,190,167.2,152,190,152,L2T
IND-TRIM-E70-50,,CUSTOM,custom (D2 rev C — GAPPED FERRITE),"resonant trim BIN SET 3.3/3.65/4.0/4.35 µH ±3% on 2× stacked PQ50/50 PC95-class (same core p/n as D3), N=4 litz 1350×0.1 mm (10.6 mm² — E52 margin rev: the frozen 1050×0.1 rode J 5.62 exactly at the 5.6 line; 1350 lands J 4.38/ΔT ~35 K AND is the same litz construction as the D3-30 primary — one spool), distributed gap ~3.3 mm ground per bin — audit F1: the rev-B sendust toroid at full 140 kHz AC swing computed ~43 W core loss vs a ~4 W tank budget and its L swung 2:1 over each cycle; powder cores are prohibited in this slot. Bin picked against measured transformer leakage so Lr(total)=7.0 µH (kitting per DFM step 3)","air-core (lossier, stray field)",dcdc,1,256.5,190,167.2,152,190,152,L3T
X1-2u2-530,,CLASS,Faratronic/Songtian,"X1 2.2 µF 530 VAC (delta across 475 VAC line-line — CB-1; inter-CMC stage)","Vishay 3386 X1",acdc,3,83.7,62,54.6,49.6,186,149,CX11 CX12 CX13
XFMR-AUX-FLY-D,,CUSTOM,custom (D4 rev D — E52),"aux flyback transformer ETD39 PC95, 110 W class, 342–860 V input, Np38/N24 6/N15 4/Naux 4 UNCHANGED, Lp 345 µH/AL 239 unchanged (E52 margin rev: ETD34's Bpk 0.30 T ran 85% of hot Bsat at Lp+10%+clamp — ETD39 Ae 125 mm² puts it at 0.233 T / 66% at tolerance; DCM proof and the 9/9 aux sim are Lp-based, unaffected; reinforced pri→sec barrier, 100% hipot 4 kV)","—",acdc,1,249.8,185,162.8,148,185,148,TAUX
GC4D10120H,C7435087,ORDERABLE,SiChain,"SiC JBS 1200 V 10 A TO-247-2 (RCD clamp)","CR Micro 1200V/10A",acdc,3,74.3,55,48.4,44,165,132,DA0C DB0C DC0C
C2M1000170D,C5713500,ORDERABLE,CR Micro/BASiC,"SiC FET 1700 V ~1 Ω (aux flyback, full-bus E26 rev C; TO-247 likely package — MR-23, footprint placeholder §40)","G3R1700 class",acdc,1,216,160,140.8,128,160,128,QAUX
SHUNT-50MV-167A,,CLASS,Isabellenhütte-eq/local,"manganin shunt, 50 mV @ 100 A (0.5 mΩ, Kelvin 4-terminal; R5-G: rated current now in the order code — per-SKU via skuOverride)","local manganin",dcdc,1,209.3,155,136.4,124,155,124,RSHO
MICROFIT3-40,,CLASS,Molex 43045-40 class (2x20),"40-way inter-board harness header, 5 A/contact (E40: the PFC bundle crosses here — PWM x3, 12 senses, AVMID+Kelvin, fans, precharge, EN/GATE_EN_A/FLT/DRV_RDY, V15/V24, 5 returns, shield)","JST VL / TE MicroMate 40",acdc+dcdc,2,97.2,72,63.4,57.6,144,115,JICA JICB
B72220S0551K101,,CLASS,TDK/Songtian,"MOV 550 VAC 20 mm (Δ line-line + series w/ GDT to PE)","Songtian eq",acdc,6,29.7,22,19.4,17.6,132,106,MOV1 MOV2 MOV3 MOVP1 MOVP2 MOVP3
CER-2k2-10W-AX,,CLASS,TE/local,"2.2 kΩ 10 W wirewound axial (bank bleeder chain, HR-15 — ≤65 J/pulse at 120 kW, τ 4–17 s to <60 V)","SQP10",dcdc,8,18.9,14,12.3,11.2,112,90,RBDA0 RBDA1 RBDA2 RBDA3 RBDB0 RBDB1 RBDB2 RBDB3
VY1472M63Y5UQ63V0,C499492,ORDERABLE,Songtian/Faratronic,"Y1 4.7 nF 440 VAC (L-PE / output-PE / DGND-PE — MR-4; DC use verify O-7)","TDK CD series",acdc+dcdc,6,21.6,16,14.1,12.8,96,77,CY1 CY2 CY3 CPET CYO1 CYO2
CT-LINE-2500-150A,,DIRECT,Talema (Salem, India),"line CT 2500:1, 100 A, ±1%, Ø14.6 mm window, 4 kV hipot, PCB pins (audit: catalog part closes the CT-100A REVIEW; rated for 33 Ω burden so the 27 Ω fitted value is inside spec; quote Talema direct at volume — Digi-Key retail is not the RFQ price) (E18/R3) [150 A class (Talema ACX-1150 catalog, linear to 200 A at 33 R); E60: F.01 195 A pk on 13 R = 2.66 V, observable to 311 A through the D1 soft-sat race]","ZEMCT/HCT class eq",acdc,1,128.3,95,83.6,76,95,76,CTA0
CT-LINE-2500-150A,,DIRECT,Talema (Salem, India),"line CT 2500:1, 100 A, ±1%, Ø14.6 mm window, 4 kV hipot, PCB pins (audit: catalog part closes the CT-100A REVIEW; rated for 33 Ω burden so the 27 Ω fitted value is inside spec; quote Talema direct at volume — Digi-Key retail is not the RFQ price) (E18/R3)","ZEMCT/HCT class eq",acdc,1,128.3,95,83.6,76,95,76,CTB0
CT-LINE-2500-150A,,DIRECT,Talema (Salem, India),"line CT 2500:1, 100 A, ±1%, Ø14.6 mm window, 4 kV hipot, PCB pins (audit: catalog part closes the CT-100A REVIEW; rated for 33 Ω burden so the 27 Ω fitted value is inside spec; quote Talema direct at volume — Digi-Key retail is not the RFQ price) (E18/R3)","ZEMCT/HCT class eq",acdc,1,128.3,95,83.6,76,95,76,CTC0
QA01C,C2757491,REVIEW,MORNSUN,"iso 15→18 V module ≥6 kVDC (bus-discharge driver bias, CB-11; insulation cert class §K)","B1518S-3WR3HD",acdc,1,128.3,95,83.6,60,95,60,PSQD
HV732BTTD4753F,C4121673,ORDERABLE,KOA/UniOhm,"475 kΩ 1206 1% anti-surge (HV divider — MR-3)","any anti-surge 1%",acdc+dcdc,64,1.9,1.4,1.2,1.1,90,70,RV1D0 RV1D1 RV1D2 RV1D3 RV1D4 RV1D5 RV1D6 RV1D7 RV2D0 RV2D1 RV2D2 RV2D3
PS122WF4702T4E,C2793932,REVIEW,KOA/UniOhm,"47 kOhm 2512 2 W anti-surge HV, Umax >= 250 V, 2-series per position (R3: 1.04 W worst case; a 1 W 2512 has sqrt(P*R)=217 V < 220 V at +10% bus) (HR-20: halves per-element V and W — ≤208 V / ≤0.92 W continuous)","any HV 2512",acdc+dcdc,22,5.4,4,3.5,3.2,88,70,RBALT0A RBALT0B RBALB0A RBALB0B RBALT1A RBALT1B RBALB1A RBALB1B RNS1A RNS1B RNS2A RNS2B
CONN-CARD-88-R,,CLASS,any 2×44 0.1in,"88-way 2×44 2.54 mm card interface, RECEPTACLE side (card), keyed, mates CONN-CARD-88-H","Samtec SSW-144-xx-x-D class",card,1,101.3,75,66,60,75,60,JCARD
VOM1271T,C146286,ORDERABLE,Vishay/eq,"photovoltaic MOSFET driver w/ integrated turn-off (bank bleeders — ECO-2a/E33 rev B: no floating supply needed, ms-class turn-on is the point)","TLP3906",dcdc,2,47.3,35,30.8,28,70,56,UPVA UPVB
NSI1200-DSWR,C3029747,ORDERABLE,NOVOSENSE,"iso shunt amplifier SOIC-8 (differential OUTP/OUTN both routed, MR-6)","AMC1200",dcdc,1,94.5,70,61.6,56,70,56,USHO
PP-27n-1200V,,CLASS,Faratronic,"46 nF 1200 V PP pulse film (resonant — CB-22: mpn now matches the frozen rev-D2 tank; Vrms ≈ 300 V @140 kHz → pulse-grade curve check O-8/§K)","Songtian pulse PP",dcdc,1,91.8,68,59.8,54.4,68,54,C1R0
PP-27n-1200V,,CLASS,Faratronic,"46 nF 1200 V PP pulse film (resonant — CB-22: mpn now matches the frozen rev-D2 tank; Vrms ≈ 300 V @140 kHz → pulse-grade curve check O-8/§K)","Songtian pulse PP",dcdc,1,91.8,68,59.8,54.4,68,54,C1R1
PP-27n-1200V,,CLASS,Faratronic,"46 nF 1200 V PP pulse film (resonant — CB-22: mpn now matches the frozen rev-D2 tank; Vrms ≈ 300 V @140 kHz → pulse-grade curve check O-8/§K)","Songtian pulse PP",dcdc,1,91.8,68,59.8,54.4,68,54,C1R2
PP-27n-1200V,,CLASS,Faratronic,"46 nF 1200 V PP pulse film (resonant — CB-22: mpn now matches the frozen rev-D2 tank; Vrms ≈ 300 V @140 kHz → pulse-grade curve check O-8/§K)","Songtian pulse PP",dcdc,1,91.8,68,59.8,54.4,68,54,C1R3
PP-27n-1200V,,CLASS,Faratronic,"46 nF 1200 V PP pulse film (resonant — CB-22: mpn now matches the frozen rev-D2 tank; Vrms ≈ 300 V @140 kHz → pulse-grade curve check O-8/§K)","Songtian pulse PP",dcdc,1,91.8,68,59.8,54.4,68,54,C1R4
PP-27n-1200V,,CLASS,Faratronic,"46 nF 1200 V PP pulse film (resonant — CB-22: mpn now matches the frozen rev-D2 tank; Vrms ≈ 300 V @140 kHz → pulse-grade curve check O-8/§K)","Songtian pulse PP",dcdc,1,91.8,68,59.8,54.4,68,54,C1R5
PP-27n-1200V,,CLASS,Faratronic,"46 nF 1200 V PP pulse film (resonant — CB-22: mpn now matches the frozen rev-D2 tank; Vrms ≈ 300 V @140 kHz → pulse-grade curve check O-8/§K)","Songtian pulse PP",dcdc,1,91.8,68,59.8,54.4,68,54,C1R6
PP-27n-1200V,,CLASS,Faratronic,"46 nF 1200 V PP pulse film (resonant — CB-22: mpn now matches the frozen rev-D2 tank; Vrms ≈ 300 V @140 kHz → pulse-grade curve check O-8/§K)","Songtian pulse PP",dcdc,1,91.8,68,59.8,54.4,68,54,C1R7
PP-27n-1200V,,CLASS,Faratronic,"46 nF 1200 V PP pulse film (resonant — CB-22: mpn now matches the frozen rev-D2 tank; Vrms ≈ 300 V @140 kHz → pulse-grade curve check O-8/§K)","Songtian pulse PP",dcdc,1,91.8,68,59.8,54.4,68,54,C2R0
PP-27n-1200V,,CLASS,Faratronic,"46 nF 1200 V PP pulse film (resonant — CB-22: mpn now matches the frozen rev-D2 tank; Vrms ≈ 300 V @140 kHz → pulse-grade curve check O-8/§K)","Songtian pulse PP",dcdc,1,91.8,68,59.8,54.4,68,54,C2R1
PP-27n-1200V,,CLASS,Faratronic,"46 nF 1200 V PP pulse film (resonant — CB-22: mpn now matches the frozen rev-D2 tank; Vrms ≈ 300 V @140 kHz → pulse-grade curve check O-8/§K)","Songtian pulse PP",dcdc,1,91.8,68,59.8,54.4,68,54,C2R2
PP-27n-1200V,,CLASS,Faratronic,"46 nF 1200 V PP pulse film (resonant — CB-22: mpn now matches the frozen rev-D2 tank; Vrms ≈ 300 V @140 kHz → pulse-grade curve check O-8/§K)","Songtian pulse PP",dcdc,1,91.8,68,59.8,54.4,68,54,C2R3
PP-27n-1200V,,CLASS,Faratronic,"46 nF 1200 V PP pulse film (resonant — CB-22: mpn now matches the frozen rev-D2 tank; Vrms ≈ 300 V @140 kHz → pulse-grade curve check O-8/§K)","Songtian pulse PP",dcdc,1,91.8,68,59.8,54.4,68,54,C2R4
