# dpt-llc 50kw — ngspice-46, decks in spice/generated/dpt-llc-50kw-*.cir.
# kind=final is the RECOMMENDED network (LLC: Rg_off 0 + cs; PFC: exactly what cells.tsx draws); kind=sweep/sensitivity/
# control/drawn are informative and NOT gated. ONE die at the PER-POSITION current (see dpt-run.mjs current convention).
# Eoff_chan = CHANNEL dissipation: drain-node integral minus the device's datasheet Eoss at the settled voltage;
# the cs snubber sits at the package pins and bypasses the sense, and its charge is recovered at the ZVS turn-on.
# Eon_hard = the energy paid per transition IF ZVS does not complete. t_dead_req = n_die,leg*(Qoss(V)+cs*V)/I_toff.
# fingerprint: 50kw:FB n2/Lr3.56u/Cr11x33n/Lm35.6u/Coss2500p | cs=1000p | RgOn=4.7 RgOff=0 | Lloop=5nH | Voff=-3V | model=sic-1200-c3m.lib#07a229f69dac
# PASS = Vds_pk <= 85 % of 1200 V on REPETITIVE corners (E81: 85 % at the 5 nH design loop), <= 90 % on the +6 %-bus row
#   (880 V is above the 860 V F.03 trip, so the bridge sees it only for the F.03 kill time), AND vgs in [-8,19] V AND vgs_fw_pk <= 1.4 V (hot MIN Vgs(th) of the 1200 V class; the pre-E81 2.5 V line was the TYPICAL 25 C threshold)
case,kind,V,I_A,Cs_pF,Rg_off,Lloop_nH,Eoff_chan_uJ,koff_nJ_VA,Eon_hard_uJ,Vds_pk_V,Vds_pk_pct,dvdt_Vns,vgs_fw_pk_V,vgs_min_V,t_dead_req_ns,PASS,note
cs330-PAR500-full,sweep,830,67.8,330,0,5,205.9,3.66,1158.3,890.5,74.2,112.8,-2.53,-4.69,64,PASS,"PAR 500 V bank at the 830 V bus cap — the worst VOLTAGE corner, PFM"
cs330-PAR500-pk,sweep,830,122.7,330,0,5,623.4,6.12,1740.2,1081.1,90.1,106.3,-2.53,-5.86,64,FAIL,"same corner at the tank PEAK current — the conservative bound if the modulator ever phase-shifts here"
final-cs470-SER250-PFM,final-cs470,650,147.4,470,0,5,551.7,5.76,1160,943.4,78.6,114,-2.52,-5.82,75,PASS,"SER 250 V bank, PFM above resonance — the current-critical corner (both legs turn off at Ifet_toff)"
final-cs470-PS150-lead,final-cs470,725,162.8,470,0,5,1031,8.73,1712.1,1059.4,88.3,132.5,-2.52,-6.31,75,FAIL,"PS150-Imax LEADING leg at 475 VAC (bus floor 1.08*sqrt2*475 = 725 V) — PSM, the leading leg turns off at the tank peak"
final-cs470-PAR500-full,final-cs470,830,67.8,470,0,5,124.4,2.21,1265.5,954.2,79.5,93.2,-2.53,-4.49,75,PASS,"PAR 500 V bank at the 830 V bus cap — the worst VOLTAGE corner, PFM"
bound-PAR500-pk,bound,830,122.7,470,0,5,538.9,5.29,1706.9,1019.9,85,81.1,-2.52,-5.67,75,PASS,"same corner at the tank PEAK current — the conservative bound if the modulator ever phase-shifts here"
final-cs1000-SER250-PFM,final,650,147.4,1000,0,5,288.3,3.01,1419,875,72.9,75.8,-2.53,-5.18,115,PASS,"SER 250 V bank, PFM above resonance — the current-critical corner (both legs turn off at Ifet_toff)"
final-cs1000-PS150-lead,final,725,162.8,1000,0,5,455.4,3.86,2057.6,966.1,80.5,92,-2.52,-5.36,115,PASS,"PS150-Imax LEADING leg at 475 VAC (bus floor 1.08*sqrt2*475 = 725 V) — PSM, the leading leg turns off at the tank peak"
final-cs1000-PAR500-full,final,830,67.8,1000,0,5,123.9,2.2,1560.6,967.2,80.6,142.7,-2.53,-4.19,115,PASS,"PAR 500 V bank at the 830 V bus cap — the worst VOLTAGE corner, PFM"
bound-PAR500-pk,bound,830,122.7,1000,0,5,259.4,2.55,2075.9,1012.9,84.4,95.3,-2.52,-4.99,115,PASS,"same corner at the tank PEAK current — the conservative bound if the modulator ever phase-shifts here"
drawn-PAR500-full,drawn,830,67.8,1000,0,5,123.9,2.2,1560.6,967.2,80.6,142.7,-2.53,-4.19,115,PASS,"cells.tsx R{id}OFF = 0 Ω"
sensL10-SER250-PFM,sensitivity,650,147.4,1000,0,10,437,4.56,1062.2,997.2,83.1,124.6,-2.52,-6.27,115,PASS,"the same corner at 10 nH — the cost of missing the E81 5 nH layout rule"
sensL10-PS150-lead,sensitivity,725,162.8,1000,0,10,590.9,5.01,1633.9,1079.7,90,116.1,-2.52,-6.51,115,FAIL,"the same corner at 10 nH — the cost of missing the E81 5 nH layout rule"
sensL10-PAR500-full,sensitivity,830,67.8,1000,0,10,108.8,1.93,1265.6,1101.7,91.8,121.4,-2.53,-5.71,115,FAIL,"the same corner at 10 nH — the cost of missing the E81 5 nH layout rule"
sensL10-PAR500-pk,sensitivity,830,122.7,1000,0,10,404,3.97,2125.2,1059.5,88.3,117.7,-2.52,-6.2,115,FAIL,"the same corner at 10 nH — the cost of missing the E81 5 nH layout rule"
final-cs470-PAR500-vhi,final-cs470,880,67.8,470,0,5,150.1,2.52,1403.3,969.8,80.8,100,-2.53,-4.46,75,PASS,"+6 % bus = 880 V, ABOVE the 860 V F.03 trip — a kill-time excursion, 90 % limit"
final-PAR500-vhi,final,880,67.8,1000,0,5,122.4,2.05,1804.5,1050.2,87.5,139,-2.54,-4.49,115,PASS,"+6 % bus = 880 V, ABOVE the 860 V F.03 trip — a kill-time excursion, 90 % limit"
